Reproduced origin time,Reproduced latitude,Reproduced longitude,Reproduced depth (km),Ho et al. origin time,Origin time without near source,Latitude without near source,Longitude without near source,Depth without near source (km),Origin time with STAR,Latitude with STAR,Longitude with STAR,Depth with STAR (km)
2003-12-06T15:36:41.531373,-75.35251816311472,160.83490496413071,1.943359,2003-12-06T15:36:41.476320,,,,,2003-12-06T15:36:41.586423,-75.35520058893763,160.8386107430961,2.998047
2003-12-06T16:40:26.954815,-75.23220246191156,160.50378465581719,-0.253906,2003-12-06T16:40:26.693818,2003-12-06T16:41:02.602500,-77.39379556201243,161.5284853479932,13.28125,2003-12-06T16:40:27.428000,-75.39290369395871,160.83855703168004,-2.626953
2003-12-06T18:03:43.226419,-75.00532938202609,161.91451642349946,55.820312,2003-12-06T18:03:43.373842,2003-12-06T18:03:43.069523,-75.02317798756488,161.84887687970186,66.015625,2003-12-06T18:03:43.157462,-75.01597816376437,161.92977876937326,57.226562
2003-12-06T18:21:56.894367,-75.40000647223455,160.86583992293976,0.888672,2003-12-06T18:21:56.911358,,,,,2003-12-06T18:21:56.843703,-75.39531251949124,160.8593267893081,0.493164
2003-12-06T18:54:23.318611,-75.29013384536542,160.83562472930308,1.152344,2003-12-06T18:54:22.942391,2003-12-06T18:54:24.730805,-78.21357751698665,152.43094059186944,2.03125,2003-12-06T18:54:23.423074,-75.39466872546492,160.89911438517555,-3.769531
2003-12-06T20:32:10.464417,-75.41094352129788,160.9101262677502,-1.396484,2003-12-06T20:32:10.445950,,,,,2003-12-06T20:32:10.415918,-75.40490991129137,160.90172815979332,-1.791992
2003-12-06T21:17:04.701884,-75.24186268077464,160.54547813814145,-0.517578,2003-12-06T21:17:05.056575,2003-12-06T21:17:03.419798,-75.1759314941781,160.6912470895865,-3.59375,2003-12-06T21:17:05.039042,-75.39311769241365,160.86790343075637,-1.572266
2003-12-06T22:16:17.950750,-75.40153065642737,160.8563284106757,1.064453,2003-12-06T22:16:18.060927,,,,,2003-12-06T22:16:18.023971,-75.38467399540313,160.83877535268115,1.152344
2003-12-07T01:27:41.617474,-75.39848188637562,160.87534944019893,-0.166016,2003-12-07T01:27:41.323528,2003-12-07T01:28:09.556598,-77.13590722939212,160.73870144852128,37.890625,2003-12-07T01:27:41.618009,-75.39541865254137,160.8740024387047,-0.297852
2003-12-07T06:12:00.520713,-75.3766583730304,160.86830638589547,0.888672,2003-12-07T06:12:00.472949,2003-12-07T06:12:25.416346,-76.59452170985297,157.47641773084092,-3.59375,,,,
2003-12-07T18:39:52.876408,-75.18037050885472,160.92623010393888,-4.824219,2003-12-07T18:39:52.997491,,,,,2003-12-07T18:39:55.916879,-75.35523093135436,160.87921764695622,3.261719
2003-12-07T20:49:45.379096,-75.33569576862546,160.85798822625355,2.470703,2003-12-07T20:49:45.383130,2003-12-07T20:49:46.759713,-75.70848344561102,159.26157003605837,166.5625,2003-12-07T20:49:45.418933,-75.34105962468662,160.86540109557615,2.998047
2003-12-08T02:36:19.352537,-75.38699120521308,160.8652142095744,2.910156,2003-12-08T02:36:19.640341,2003-12-08T02:36:19.857278,-75.28943051927784,161.1233099216037,-0.78125,2003-12-08T02:36:19.225186,-75.36248575762919,160.85448009404197,2.910156
2003-12-08T07:18:38.504005,-75.36900763653904,160.875110222305,2.910156,2003-12-08T07:18:38.761160,,,,,2003-12-08T07:18:38.482666,-75.36288156415343,160.8724224513158,2.998047
2003-12-09T07:17:02.342875,-75.43730284854053,160.67306736391905,-4.912109,2003-12-09T07:16:55.289949,2003-12-09T07:17:40.606090,-77.37950114480732,166.68052802454213,21.71875,2003-12-09T07:17:02.325307,-75.38819852784708,160.61151340018466,-4.824219
2003-12-10T04:03:42.497423,-75.23875430315641,160.52407385435293,0.800781,2003-12-10T04:03:42.215803,2003-12-10T04:04:16.270412,-77.30178256887069,162.34639875977115,24.53125,2003-12-10T04:03:42.627116,-75.39272150942864,160.84992365569386,-2.539062
2003-12-10T07:32:24.981386,-75.39523468432805,160.8853706026763,0.405273,2003-12-10T07:32:24.952623,2003-12-10T07:32:24.006179,-75.01704818357372,161.02177260842467,24.53125,2003-12-10T07:32:25.016420,-75.3871888740103,160.87420059209327,0.668945
2003-12-11T05:27:52.498781,-75.40174235819983,160.88569255953394,1.767578,2003-12-11T05:27:52.474754,,,,,2003-12-11T05:27:52.475433,-75.38929220728447,160.87131020536256,1.28418
